frac_bits,max_channel_difference,count
0,1,432823
0,2,11645
0,3,3984
0,4,1794
0,5,1007
0,6,564
0,7,366
0,8,206
0,9,165
0,10,213
0,11,185
0,12,91
0,13,105
0,14,94
0,15,62
0,16,69
0,17,146
0,18,149
0,19,103
0,20,68
0,21,79
0,22,109
0,23,120
0,24,76
0,25,45
0,26,33
0,27,29
0,28,16
0,29,16
0,30,15
0,31,15
0,32,6
0,33,8
0,34,20
0,35,17
0,36,11
0,37,17
0,38,25
0,39,13
0,40,18
0,41,13
0,42,15
0,43,14
0,44,19
0,45,35
0,46,42
0,47,89
0,48,106
0,49,77
0,50,61
0,51,65
0,52,51
0,53,42
0,54,38
0,55,45
0,56,44
0,57,117
0,58,132
0,59,147
0,60,125
0,61,110
0,62,43
0,63,9
0,64,31
0,65,76
0,66,55
0,67,30
0,68,29
0,69,80
0,70,129
0,71,84
0,72,108
0,73,170
0,74,136
0,75,116
0,76,173
0,77,144
0,78,101
0,79,111
0,80,128
0,81,88
0,82,72
0,83,148
0,84,163
0,85,164
0,86,189
0,87,214
0,88,183
0,89,553
0,90,809
0,91,1728
0,92,513
0,93,129
0,94,246
0,95,337
0,96,210
0,97,120
0,98,94
0,99,136
0,100,79
0,101,579
0,102,276
0,103,71
0,104,59
0,105,50
0,106,132
0,107,286
0,108,165
0,109,314
0,110,235
0,111,273
0,112,76
0,113,44
0,114,10
0,115,9
0,116,28
0,117,45
0,118,29
0,119,22
0,120,27
0,121,18
0,122,22
0,123,33
0,124,33
0,125,20
0,126,29
0,127,25
0,128,44
0,129,34
0,130,26
0,131,31
0,132,36
0,133,35
0,134,27
0,135,29
0,136,29
0,137,28
0,138,16
0,139,5
0,140,15
0,141,18
0,142,9
0,143,6
0,144,13
0,145,18
0,146,6
0,147,13
0,148,9
0,149,9
0,150,10
0,151,16
0,152,17
0,153,7
0,154,5
0,155,9
0,156,6
0,157,8
0,158,2
0,159,10
0,160,4
0,161,7
0,162,5
0,163,4
0,164,6
0,165,6
0,166,8
0,167,4
0,168,5
0,169,9
0,170,9
0,171,7
0,172,9
0,173,6
0,174,4
0,175,12
0,176,5
0,177,10
0,178,11
0,179,6
0,180,11
0,181,12
0,182,3
0,183,6
0,184,7
0,185,5
0,186,4
0,187,7
0,188,4
0,189,2
0,190,2
0,191,3
0,192,3
0,193,3
0,194,4
0,195,6
0,196,3
0,197,4
0,198,6
0,199,3
0,201,11
0,202,15
0,203,14
0,204,7
0,205,14
0,206,13
0,207,31
0,208,47
0,209,33
0,210,18
0,211,16
0,212,9
0,213,8
0,214,3
0,215,7
0,216,6
0,217,7
0,218,8
0,219,3
0,220,2
0,221,1
